fold,query_id,base_rank,fine_tuned_rank,delta_rank,sorted_query_index
5,2697,318,212,106,992
5,1813,121,15,106,993
5,229,121,15,106,994
1,810,114,8,106,995
4,50,114,8,106,996
4,690,107,1,106,997
4,854,114,8,106,998
5,1113,318,212,106,999
4,1494,107,1,106,1000
4,31,108,2,106,1001
4,835,108,2,106,1002
3,1685,106,1,105,1003
3,3585,106,1,105,1004
5,2567,111,7,104,1005
3,2744,166,62,104,1006
3,2639,144,40,104,1007
3,1167,105,1,104,1008
5,2313,108,4,104,1009
5,983,111,7,104,1010
3,844,166,62,104,1011
4,963,108,4,104,1012
3,3067,105,1,104,1013
5,729,108,4,104,1014
4,159,108,4,104,1015
3,739,144,40,104,1016
3,3169,127,24,103,1017
3,1269,127,24,103,1018
3,3470,106,4,102,1019
3,2513,107,5,102,1020
3,1570,106,4,102,1021
5,49,145,43,102,1022
5,2645,105,3,102,1023
3,613,107,5,102,1024
5,1061,105,3,102,1025
5,1633,145,43,102,1026
3,186,105,4,101,1027
1,310,122,21,101,1028
4,529,102,1,101,1029
4,1333,102,1,101,1030
1,1410,122,21,101,1031
3,2086,105,4,101,1032
4,962,106,6,100,1033
5,36,146,46,100,1034
1,265,115,15,100,1035
5,1620,146,46,100,1036
4,158,106,6,100,1037
1,1365,115,15,100,1038
3,1455,131,32,99,1039
2,641,101,2,99,1040
5,2506,106,7,99,1041
1,1489,122,23,99,1042
1,1559,127,28,99,1043
1,1140,292,193,99,1044
3,3355,131,32,99,1045
1,389,122,23,99,1046
4,809,106,7,99,1047
1,40,292,193,99,1048
1,899,109,10,99,1049
2,1513,101,2,99,1050
1,459,127,28,99,1051
1,1999,109,10,99,1052
5,922,106,7,99,1053
4,5,106,7,99,1054
5,1603,135,37,98,1055
5,19,135,37,98,1056
4,1589,100,2,98,1057
5,1903,106,8,98,1058
3,3351,102,4,98,1059
3,1451,102,4,98,1060
4,785,100,2,98,1061
5,319,106,8,98,1062
2,959,229,132,97,1063
4,121,110,13,97,1064
5,1955,157,60,97,1065
2,901,121,24,97,1066
4,925,110,13,97,1067
5,371,157,60,97,1068
2,87,229,132,97,1069
2,29,121,24,97,1070
4,1425,99,3,96,1071
4,621,99,3,96,1072
5,2855,97,1,96,1073
5,1271,97,1,96,1074
4,545,107,12,95,1075
5,1270,108,13,95,1076
4,1349,107,12,95,1077
5,2854,108,13,95,1078
5,1767,135,41,94,1079
5,1913,218,124,94,1080
5,329,218,124,94,1081
5,2051,172,78,94,1082
