fold,condition,margin
1,Base E5,-0.021876573562622
1,Base E5,0.0017476677894592
1,Base E5,0.0222499370574951
1,Base E5,0.027360200881958
1,Base E5,0.004560649394989
1,Base E5,0.0130782127380371
1,Base E5,0.0277843475341796
1,Base E5,0.005013883113861
1,Base E5,0.0351567864418029
1,Base E5,-0.0508995056152343
1,Base E5,0.0230053663253784
1,Base E5,0.0246189832687377
1,Base E5,0.0157458782196044
1,Base E5,0.0254765152931213
1,Base E5,0.0442683100700378
1,Base E5,-0.0070867538452148
1,Base E5,0.0321565270423889
1,Base E5,-0.0199013948440551
1,Base E5,0.0352361798286438
1,Base E5,-0.0036931633949279
1,Base E5,0.0171537995338439
1,Base E5,0.021425187587738
1,Base E5,0.0495210886001586
1,Base E5,0.0098990201950073
1,Base E5,-0.0119326710700988
1,Base E5,0.0103765726089477
1,Base E5,0.0057383775711059
1,Base E5,0.0362644791603088
1,Base E5,0.0431520938873291
1,Base E5,-0.0029239058494567
1,Base E5,0.0233907103538513
1,Base E5,-0.0048502683639526
1,Base E5,-0.0043612122535705
1,Base E5,0.0219538807868957
1,Base E5,0.0262293815612792
1,Base E5,0.0007556676864624
1,Base E5,-0.0066511034965515
1,Base E5,-0.0095187425613403
1,Base E5,0.0340524911880493
1,Base E5,-0.0111678838729858
1,Base E5,0.0614689588546752
1,Base E5,0.0087419748306274
1,Base E5,0.0328320860862731
1,Base E5,-0.0010743141174316
1,Base E5,-0.0298112034797668
1,Base E5,0.0050307512283325
1,Base E5,0.0224456191062927
1,Base E5,-0.0030076503753662
1,Base E5,0.0178079605102539
1,Base E5,0.0049984455108642
1,Base E5,0.0251491665840148
1,Base E5,0.0237923860549926
1,Base E5,0.0246279239654541
1,Base E5,0.015842318534851
1,Base E5,0.0108075141906738
1,Base E5,0.0141823887825012
1,Base E5,0.0063520073890686
1,Base E5,-0.0081187486648559
1,Base E5,0.0385292768478393
1,Base E5,0.040193498134613
1,Base E5,0.051112413406372
1,Base E5,0.0029988288879394
1,Base E5,0.0013390183448791
1,Base E5,0.0180436372756958
1,Base E5,0.0058218836784362
1,Base E5,0.0225369930267334
1,Base E5,0.0457068085670471
1,Base E5,0.013995885848999
1,Base E5,0.0458502769470214
1,Base E5,0.0067237615585327
1,Base E5,0.0238073468208313
1,Base E5,-0.0085515975952148
1,Base E5,0.0146180391311645
1,Base E5,0.0020785331726074
1,Base E5,0.0457227826118469
1,Base E5,0.0589370727539062
1,Base E5,0.071617841720581
1,Base E5,0.0450838804244995
1,Base E5,0.0362669229507446
1,Base E5,0.0081472992897033
1,Base E5,0.0518456697463989
1,Base E5,0.0151173472404479
1,Base E5,0.0312747955322265
1,Base E5,0.0318861603736877
1,Base E5,0.0395812392234802
1,Base E5,-0.0114698410034179
1,Base E5,-0.0112522840499877
1,Base E5,0.020465612411499
1,Base E5,0.0205232501029968
1,Base E5,-0.0172697901725769
1,Base E5,-0.0169340372085571
1,Base E5,0.0367710590362548
1,Base E5,0.0297586917877197
