fold,condition,score_type,cosine_similarity
1,Base E5,positive_score,0.8172308802604675
1,Base E5,positive_score,0.829855740070343
1,Base E5,positive_score,0.8159665465354919
1,Base E5,positive_score,0.8043989539146423
1,Base E5,positive_score,0.8021645545959473
1,Base E5,positive_score,0.8252881169319153
1,Base E5,positive_score,0.8541722893714905
1,Base E5,positive_score,0.8721410036087036
1,Base E5,positive_score,0.7677032351493835
1,Base E5,positive_score,0.8152950406074524
1,Base E5,positive_score,0.8142245411872864
1,Base E5,positive_score,0.8159255981445312
1,Base E5,positive_score,0.7974504828453064
1,Base E5,positive_score,0.8139255046844482
1,Base E5,positive_score,0.8455528616905212
1,Base E5,positive_score,0.8047961592674255
1,Base E5,positive_score,0.8052273392677307
1,Base E5,positive_score,0.7974433898925781
1,Base E5,positive_score,0.8424863815307617
1,Base E5,positive_score,0.8501311540603638
1,Base E5,positive_score,0.7983819246292114
1,Base E5,positive_score,0.8507567048072815
1,Base E5,positive_score,0.8091574907302856
1,Base E5,positive_score,0.8033139109611511
1,Base E5,positive_score,0.8207909464836121
1,Base E5,positive_score,0.789812445640564
1,Base E5,positive_score,0.8412285447120667
1,Base E5,positive_score,0.8720704317092896
1,Base E5,positive_score,0.8193209767341614
1,Base E5,positive_score,0.8726118206977844
1,Base E5,positive_score,0.8182990550994873
1,Base E5,positive_score,0.8091496825218201
1,Base E5,positive_score,0.7957472801208496
1,Base E5,positive_score,0.8032894730567932
1,Base E5,positive_score,0.8538839817047119
1,Base E5,positive_score,0.8487644195556641
1,Base E5,positive_score,0.800386369228363
1,Base E5,positive_score,0.8337061405181885
1,Base E5,positive_score,0.8485836982727051
1,Base E5,positive_score,0.8492143750190735
1,Base E5,positive_score,0.8248472809791565
1,Base E5,positive_score,0.8309978246688843
1,Base E5,positive_score,0.897847592830658
1,Base E5,positive_score,0.8626627922058105
1,Base E5,positive_score,0.9192844033241272
1,Base E5,positive_score,0.8186883330345154
1,Base E5,positive_score,0.8342285752296448
1,Base E5,positive_score,0.7646551132202148
1,Base E5,positive_score,0.8076335787773132
1,Base E5,positive_score,0.7702266573905945
1,Base E5,positive_score,0.8636707067489624
1,Base E5,positive_score,0.8076424598693848
1,Base E5,positive_score,0.825059175491333
1,Base E5,positive_score,0.7919846177101135
1,Base E5,positive_score,0.8506404161453247
1,Base E5,positive_score,0.8519031405448914
1,Base E5,positive_score,0.8046749234199524
1,Base E5,positive_score,0.8043624758720398
1,Base E5,positive_score,0.8005961179733276
1,Base E5,positive_score,0.8150374293327332
1,Base E5,positive_score,0.8241379261016846
1,Base E5,positive_score,0.8268544673919678
1,Base E5,positive_score,0.8283589482307434
1,Base E5,positive_score,0.831399142742157
1,Base E5,positive_score,0.7548415064811707
1,Base E5,positive_score,0.8128275275230408
1,Base E5,positive_score,0.8508906960487366
1,Base E5,positive_score,0.8337835073471069
1,Base E5,positive_score,0.8056880235671997
1,Base E5,positive_score,0.8063732981681824
1,Base E5,positive_score,0.8228933811187744
1,Base E5,positive_score,0.8526071310043335
1,Base E5,positive_score,0.8659389019012451
1,Base E5,positive_score,0.8200761675834656
1,Base E5,positive_score,0.8229759931564331
1,Base E5,positive_score,0.8224308490753174
1,Base E5,positive_score,0.8424034118652344
1,Base E5,positive_score,0.8289968371391296
1,Base E5,positive_score,0.8657624125480652
1,Base E5,positive_score,0.8608037233352661
1,Base E5,positive_score,0.8502576351165771
1,Base E5,positive_score,0.8759845495223999
1,Base E5,positive_score,0.8493406176567078
1,Base E5,positive_score,0.8346719145774841
1,Base E5,positive_score,0.8748143911361694
1,Base E5,positive_score,0.8384459614753723
1,Base E5,positive_score,0.8376849889755249
1,Base E5,positive_score,0.7987662553787231
1,Base E5,positive_score,0.8100707530975342
1,Base E5,positive_score,0.8048038482666016
1,Base E5,positive_score,0.8192761540412903
1,Base E5,positive_score,0.8090222477912903
1,Base E5,positive_score,0.8533524870872498
1,Base E5,positive_score,0.8468720316886902
